iter	Passed	Remaining
749	11918	13507
750	11935	13493
751	11951	13477
752	11967	13461
753	11983	13446
754	11999	13430
755	12015	13414
756	12030	13397
757	12046	13381
758	12062	13365
759	12079	13350
760	12095	13335
761	12111	13319
762	12127	13304
763	12143	13288
764	12159	13272
765	12176	13257
766	12192	13241
767	12209	13226
768	12226	13212
769	12242	13196
770	12259	13181
771	12275	13166
772	12291	13150
773	12308	13135
774	12325	13120
775	12341	13105
776	12357	13089
777	12373	13073
778	12390	13058
779	12406	13042
780	12421	13026
781	12438	13010
782	12453	12994
783	12472	12981
784	12487	12964
785	12503	12949
786	12519	12933
787	12536	12917
788	12551	12901
789	12567	12885
790	12583	12869
791	12599	12853
792	12615	12838
793	12631	12822
794	12648	12807
795	12663	12791
796	12680	12775
797	12696	12759
798	12711	12743
799	12729	12729
800	12745	12713
801	12762	12698
802	12779	12683
803	12795	12668
804	12812	12652
805	12830	12639
806	12847	12624
807	12863	12609
808	12879	12593
809	12895	12577
810	12912	12562
811	12928	12546
812	12946	12532
813	12963	12517
814	12979	12502
815	12996	12486
816	13012	12470
817	13028	12455
818	13044	12439
819	13060	12423
820	13077	12408
821	13093	12393
822	13109	12377
823	13125	12361
824	13141	12345
825	13169	12340
826	13185	12324
827	13201	12308
828	13217	12292
829	13233	12276
830	13250	12261
831	13266	12245
832	13281	12229
833	13297	12213
834	13313	12197
835	13331	12183
836	13348	12168
837	13364	12152
838	13380	12136
839	13398	12122
840	13415	12107
841	13431	12091
842	13449	12077
843	13466	12062
844	13483	12047
845	13500	12032
846	13517	12017
847	13534	12002
848	13551	11987
849	13567	11971
850	13585	11956
851	13601	11941
852	13620	11927
853	13637	11912
854	13653	11897
855	13670	11881
856	13687	11867
857	13704	11851
858	13721	11836
859	13738	11821
860	13755	11806
861	13772	11791
862	13790	11776
863	13806	11760
864	13822	11745
865	13839	11730
866	13856	11714
867	13872	11698
868	13889	11683
869	13906	11668
870	13923	11653
871	13940	11638
872	13957	11623
873	13974	11607
874	13991	11592
875	14007	11576
876	14023	11561
877	14040	11545
878	14056	11529
879	14074	11515
880	14091	11500
881	14108	11484
882	14124	11468
883	14141	11453
884	14157	11438
885	14173	11422
886	14190	11407
887	14207	11391
888	14224	11376
889	14242	11361
890	14258	11345
891	14274	11330
892	14293	11315
893	14309	11300
894	14325	11284
895	14343	11270
896	14360	11254
897	14378	11239
898	14394	11224
899	14410	11208
900	14426	11192
901	14441	11175
902	14458	11159
903	14474	11144
904	14491	11129
905	14508	11113
906	14524	11097
907	14540	11081
908	14556	11065
909	14572	11049
910	14588	11033
911	14605	11018
912	14620	11001
913	14636	10985
914	14652	10969
915	14668	10953
916	14684	10937
917	14700	10921
918	14716	10905
919	14732	10889
920	14748	10873
921	14765	10857
922	14781	10841
923	14797	10826
924	14813	10809
925	14829	10794
926	14847	10779
927	14864	10763
928	14880	10748
929	14898	10733
930	14915	10717
931	14930	10701
932	14947	10685
933	14963	10670
934	14979	10654
935	14995	10637
936	15011	10621
937	15027	10605
938	15043	10590
939	15061	10574
940	15077	10558
941	15092	10542
942	15108	10526
943	15125	10510
944	15140	10494
945	15157	10478
946	15173	10462
947	15189	10446
948	15206	10431
949	15222	10415
950	15238	10399
951	15255	10383
952	15271	10367
953	15287	10351
954	15303	10336
955	15320	10320
956	15335	10303
957	15353	10288
958	15369	10272
959	15385	10256
960	15401	10240
961	15417	10224
962	15433	10208
963	15448	10192
964	15466	10177
965	15482	10161
966	15498	10145
967	15514	10129
968	15531	10113
969	15547	10097
970	15563	10082
971	15583	10068
972	15599	10052
973	15616	10037
974	15634	10022
975	15651	10006
976	15668	9991
977	15685	9975
978	15702	9960
979	15718	9944
980	15735	9928
981	15751	9913
982	15768	9897
983	15787	9883
984	15806	9869
985	15823	9853
986	15839	9837
987	15856	9821
988	15873	9806
989	15901	9797
990	15918	9782
991	15934	9766
992	15951	9750
993	15967	9734
994	15984	9718
995	16000	9703
996	16016	9686
997	16032	9670
998	16049	9655
999	16065	9639
1000	16081	9623
1001	16098	9607
1002	16114	9591
1003	16131	9575
1004	16147	9559
1005	16164	9544
1006	16180	9528
1007	16197	9512
1008	16213	9496
1009	16229	9480
1010	16246	9464
1011	16262	9448
1012	16277	9432
1013	16294	9416
1014	16310	9400
1015	16326	9384
1016	16342	9368
1017	16358	9352
1018	16374	9336
1019	16390	9320
1020	16406	9304
1021	16422	9287
1022	16438	9271
1023	16455	9256
1024	16471	9239
1025	16487	9223
1026	16502	9207
1027	16518	9191
1028	16534	9175
1029	16550	9158
1030	16566	9142
1031	16581	9126
1032	16597	9110
1033	16613	9094
1034	16629	9077
1035	16645	9061
1036	16660	9045
1037	16675	9028
1038	16691	9012
1039	16707	8996
1040	16724	8980
1041	16740	8964
1042	16756	8948
1043	16771	8932
1044	16788	8916
1045	16804	8900
1046	16820	8883
1047	16837	8868
1048	16854	8852
1049	16870	8837
1050	16887	8821
1051	16904	8806
1052	16920	8789
1053	16937	8773
1054	16953	8757
1055	16969	8741
1056	16985	8725
1057	17001	8709
1058	17016	8693
1059	17033	8677
1060	17048	8661
1061	17065	8645
1062	17082	8629
1063	17098	8613
1064	17113	8597
1065	17130	8581
1066	17145	8564
1067	17161	8548
1068	17176	8531
1069	17191	8515
1070	17207	8499
1071	17223	8483
1072	17239	8467
1073	17255	8451
1074	17271	8434
1075	17287	8418
1076	17304	8403
1077	17320	8386
1078	17335	8370
1079	17352	8354
1080	17368	8338
1081	17384	8322
1082	17400	8306
1083	17417	8290
1084	17432	8274
1085	17449	8258
1086	17465	8242
1087	17481	8226
1088	17497	8210
1089	17514	8194
1090	17531	8179
1091	17547	8162
1092	17562	8146
1093	17578	8130
1094	17593	8114
1095	17610	8098
1096	17626	8082
1097	17642	8066
1098	17658	8050
1099	17675	8034
1100	17691	8018
1101	17707	8001
1102	17723	7985
1103	17739	7969
1104	17756	7954
1105	17771	7937
1106	17787	7921
1107	17803	7905
1108	17821	7890
1109	17837	7874
1110	17854	7858
1111	17870	7842
1112	17887	7826
1113	17904	7811
1114	17920	7795
1115	17936	7779
1116	17952	7762
1117	17968	7746
1118	17985	7730
1119	18001	7714
1120	18016	7698
1121	18033	7682
1122	18048	7666
1123	18064	7650
1124	18081	7634
1125	18096	7617
1126	18112	7601
1127	18129	7585
1128	18145	7570
1129	18161	7553
1130	18179	7538
1131	18195	7522
1132	18211	7506
1133	18228	7490
1134	18245	7474
1135	18260	7458
1136	18276	7442
1137	18292	7426
1138	18308	7410
1139	18324	7394
1140	18340	7377
1141	18356	7361
1142	18373	7346
1143	18389	7330
1144	18405	7314
1145	18422	7298
1146	18437	7281
1147	18453	7265
1148	18469	7249
1149	18484	7233
1150	18500	7216
1151	18516	7201
1152	18532	7184
1153	18548	7168
1154	18564	7152
1155	18580	7136
1156	18596	7120
1157	18612	7104
1158	18627	7087
1159	18644	7072
1160	18660	7055
1161	18675	7039
1162	18691	7023
1163	18707	7007
1164	18723	6991
1165	18739	6975
1166	18754	6958
1167	18771	6942
1168	18787	6926
1169	18805	6911
1170	18821	6895
1171	18839	6879
1172	18856	6864
1173	18872	6848
1174	18889	6832
1175	18905	6816
1176	18924	6801
1177	18940	6785
1178	18957	6769
1179	18973	6753
1180	18988	6736
1181	19004	6720
1182	19020	6704
1183	19037	6688
1184	19054	6672
1185	19070	6656
1186	19086	6641
1187	19104	6625
1188	19119	6609
1189	19135	6593
1190	19152	6577
1191	19168	6560
1192	19183	6544
1193	19199	6528
1194	19215	6512
1195	19231	6496
1196	19248	6480
1197	19264	6464
1198	19280	6448
1199	19296	6432
1200	19312	6415
1201	19328	6399
1202	19344	6383
1203	19360	6367
1204	19377	6351
1205	19393	6335
1206	19409	6319
1207	19425	6303
1208	19441	6287
1209	19457	6271
1210	19473	6255
1211	19489	6239
1212	19506	6223
1213	19522	6207
1214	19538	6191
1215	19554	6175
1216	19571	6159
1217	19587	6143
1218	19604	6127
1219	19620	6111
1220	19636	6095
1221	19652	6078
1222	19667	6062
1223	19684	6046
1224	19700	6030
1225	19716	6014
1226	19732	5998
1227	19747	5982
1228	19762	5965
1229	19778	5949
1230	19793	5933
1231	19810	5917
1232	19826	5901
1233	19842	5885
1234	19859	5869
1235	19875	5853
1236	19893	5837
1237	19909	5821
1238	19925	5805
1239	19941	5789
1240	19957	5773
1241	19973	5757
1242	19989	5741
1243	20005	5724
